country,sector,year,median,p25,premium_pct,cv,gini
Belgium,29 Production of cement clinker,2022.0,3516257.0,3516257.0,0.0,0.0,0.0
Belgium,29 Production of cement clinker,2023.0,3152011.0,3152011.0,0.0,0.0,0.0
Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2015.0,2614333.0,2614333.0,0.0,0.0,0.0
Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2016.0,2473262.0,2473262.0,0.0,0.0,0.0
Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2017.0,2483341.0,2483341.0,0.0,0.0,0.0
Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2018.0,2491364.0,2491364.0,0.0,0.0,0.0
Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2019.0,2199212.0,2199212.0,0.0,0.0,0.0
Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2020.0,1814679.0,1814679.0,0.0,0.0,0.0
Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2021.0,1897059.0,1897059.0,0.0,0.0,0.0
Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2022.0,1687191.0,1687191.0,0.0,0.0,0.0
Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2023.0,1464113.0,1464113.0,0.0,0.0,0.0
Belgium,31 Manufacture of glass,2015.0,705375.0,705375.0,0.0,0.0,0.0
Belgium,31 Manufacture of glass,2016.0,703335.0,703335.0,0.0,0.0,0.0
Belgium,31 Manufacture of glass,2017.0,690344.0,690344.0,0.0,0.0,0.0
Belgium,31 Manufacture of glass,2018.0,683616.0,683616.0,0.0,0.0,0.0
Belgium,31 Manufacture of glass,2019.0,581589.0,581589.0,0.0,0.0,0.0
Belgium,31 Manufacture of glass,2020.0,475678.0,475678.0,0.0,0.0,0.0
Belgium,31 Manufacture of glass,2021.0,630151.0,630151.0,0.0,0.0,0.0
Belgium,31 Manufacture of glass,2022.0,610904.0,610904.0,0.0,0.0,0.0
Belgium,31 Manufacture of glass,2023.0,588695.0,588695.0,0.0,0.0,0.0
Belgium,32 Manufacture of ceramics,2015.0,518810.0,518810.0,0.0,0.0,0.0
Belgium,32 Manufacture of ceramics,2016.0,487193.0,487193.0,0.0,0.0,0.0
Belgium,32 Manufacture of ceramics,2017.0,503331.0,503331.0,0.0,0.0,0.0
Belgium,32 Manufacture of ceramics,2018.0,491966.0,491966.0,0.0,0.0,0.0
Belgium,32 Manufacture of ceramics,2019.0,505823.0,505823.0,0.0,0.0,0.0
Belgium,32 Manufacture of ceramics,2020.0,485724.0,485724.0,0.0,0.0,0.0
Belgium,32 Manufacture of ceramics,2021.0,531178.0,531178.0,0.0,0.0,0.0
Belgium,32 Manufacture of ceramics,2022.0,523462.0,523462.0,0.0,0.0,0.0
Belgium,32 Manufacture of ceramics,2023.0,446557.0,446557.0,0.0,0.0,0.0
Belgium,33 Manufacture of mineral wool,2015.0,39253.0,39253.0,0.0,0.0,0.0
Belgium,33 Manufacture of mineral wool,2016.0,46625.0,46625.0,0.0,0.0,0.0
Belgium,33 Manufacture of mineral wool,2017.0,50521.0,50521.0,0.0,0.0,0.0
Belgium,33 Manufacture of mineral wool,2018.0,63088.0,63088.0,0.0,0.0,0.0
Belgium,33 Manufacture of mineral wool,2019.0,63171.0,63171.0,0.0,0.0,0.0
Belgium,33 Manufacture of mineral wool,2020.0,61769.0,61769.0,0.0,0.0,0.0
Belgium,33 Manufacture of mineral wool,2021.0,66179.0,66179.0,0.0,0.0,0.0
Belgium,33 Manufacture of mineral wool,2022.0,59330.0,59330.0,0.0,0.0,0.0
Belgium,33 Manufacture of mineral wool,2023.0,65408.0,65408.0,0.0,0.0,0.0
Belgium,35 Production of pulp,2015.0,127791.0,127791.0,0.0,0.0,0.0
Belgium,35 Production of pulp,2016.0,124944.0,124944.0,0.0,0.0,0.0
Belgium,35 Production of pulp,2017.0,104406.0,104406.0,0.0,0.0,0.0
