country,ymabs,sb_rate,comp3_rate,n,cohort,id
BE,24183,0.16813186813186815,0.7201465201465201,2730,24197,2
BE,24184,0.20982986767485823,0.6509136735979836,1587,24197,2
BE,24185,0.2003577817531306,0.6929039952295766,1677,24197,2
BE,24186,0.2734189253447456,0.5397051830718022,2103,24197,2
BE,24187,0.12360594795539033,0.7128252788104089,1076,24197,2
BE,24188,0.2531446540880503,0.5267295597484277,1272,24197,2
BE,24189,0.15123094958968347,0.7368112543962485,1706,24197,2
BE,24190,0.2643020594965675,0.5743707093821511,874,24197,2
BE,24191,0.6530878859857482,0.2635391923990499,8420,24197,2
BE,24192,0.18181818181818182,0.6121979286536249,4345,24197,2
BE,24193,0.18482957273163705,0.6524243879020644,2083,24197,2
BE,24194,0.2557471264367816,0.6340996168582376,1044,24197,2
BE,24195,0.10463045414069456,0.8303650934995548,2246,24197,2
BE,24196,0.07341490545050056,0.8286985539488321,1798,24197,2
BE,24197,0.13148283418553688,0.7260774287801315,1369,24197,2
BE,24198,0.14452554744525548,0.6642335766423357,685,24197,2
BE,24199,0.11188811188811189,0.7118881118881119,1430,24197,2
BE,24200,0.12546468401486988,0.7611524163568774,1076,24197,2
BE,24201,0.13350449293966624,0.668806161745828,779,24197,2
BE,24202,0.2311377245508982,0.5700598802395209,835,24197,2
BE,24203,0.20883534136546184,0.6345381526104418,1743,24197,2
BE,24204,0.20286264794935316,0.5067437379576107,3633,24197,2
BE,24205,0.2619949494949495,0.5126262626262627,1584,24197,2
BE,24206,0.2916881775942179,0.5591120289106867,1937,24197,2
BE,24207,0.22183098591549297,0.6091549295774648,1136,24197,2
BE,24208,0.22459893048128343,0.6256684491978609,374,24197,2
BE,24209,0.27636113025499653,0.549276361130255,1451,24197,2
BE,24210,0.3447204968944099,0.5015527950310559,644,24197,2
BE,24211,0.1510574018126888,0.5347432024169184,331,24197,2
BE,24212,0.2656641604010025,0.6353383458646616,1596,24197,2
BE,24213,0.1755639097744361,0.6755639097744361,2660,24197,2
BE,24214,0.3031341821743389,0.5523996082272282,2042,24197,2
BE,24215,0.25012309207287053,0.5445593303791236,2031,24197,2
BE,24216,0.19231855408076814,0.5461733973453826,3541,24197,2
BE,24217,0.24324324324324326,0.5052399338113623,1813,24197,2
BE,24218,0.2439830108541765,0.5648890986314299,2119,24197,2
BE,24219,0.3774403470715835,0.3676789587852495,922,24197,2
BE,24220,0.3027604630454141,0.5716829919857525,1123,24197,2
BE,24221,0.2034029389017788,0.6434648105181748,1293,24197,2
BE,24222,0.18040569702201123,0.6094087181700475,2317,24197,2
BE,24223,0.14335839598997493,0.6726817042606517,1995,24197,2
BE,24224,0.26657552973342447,0.5242652084757348,1463,24197,2
BE,24225,0.2775609756097561,0.5424390243902439,2050,24197,2
BE,24226,0.27037773359840955,0.4914512922465209,2515,24197,2
BE,24227,0.22663877266387727,0.47175732217573224,2868,24197,2
BE,24228,0.23653250773993809,0.5049535603715171,3230,24197,2
BE,24229,0.27574563871693863,0.5441755768148565,1777,24197,2
BE,24230,0.184,0.5673333333333334,1500,24197,2
BE,24231,0.18041582830315225,0.6586183769282361,1491,24197,2
BE,24232,0.32945499081445195,0.45009185548071035,1633,24197,2
BE,24233,0.23653525818989452,0.6474181010549694,1801,24197,2
BE,24234,0.12209302325581395,0.6872923588039868,2408,24197,2
BE,24235,0.11986301369863013,0.6883561643835616,2044,24197,2
BE,24236,0.23076923076923078,0.6436222005842259,1027,24197,2
BE,24237,0.11179577464788733,0.8089788732394366,1136,24197,2
BE,24238,0.34216335540838855,0.4613686534216336,1359,24197,2
BE,24239,0.14893617021276595,0.46808510638297873,47,24197,2
BE,24240,0.287463556851312,0.519533527696793,3430,24197,2
BE,24241,0.32225237449118044,0.4559023066485753,1474,24197,2
BE,24242,0.1603563474387528,0.6302895322939867,1347,24197,2
BE,24243,0.2853898561695685,0.5518546555639667,1321,24197,2
BE,24244,0.21305841924398625,0.6475208640157094,2037,24197,2
BE,24245,0.15556295802798134,0.7768154563624251,3002,24197,2
BE,24246,0.28237523689197724,0.5824384080859129,1583,24197,2
BE,24247,0.2514245014245014,0.5149572649572649,1404,24197,2
BE,24248,0.3088235294117647,0.47058823529411764,1292,24197,2
BE,24249,0.20793499043977057,0.6424474187380497,2092,24197,2
BE,24250,0.27353071144498453,0.5002209456473707,2263,24197,2
BE,24251,0.21122740247383445,0.5490009514747859,3153,24197,2
BG,24182,0.4868421052631579,0.3157894736842105,304,24201,3
BG,24183,0.32597173144876324,0.4275618374558304,1132,24201,3
BG,24184,0.23659305993690852,0.5930599369085173,634,24201,3
BG,24185,0.26939970717423134,0.541727672035139,683,24201,3
BG,24186,0.21668597914252608,0.6164542294322132,863,24201,3
BG,24187,0.20768307322929172,0.631452581032413,833,24201,3
BG,24188,0.1831537708129285,0.7159647404505387,1021,24201,3
BG,24189,0.3180147058823529,0.5716911764705882,1088,24201,3
