country_code,country,main activity sector name,ETS information,year,value,unit
BE,Belgium,29 Production of cement clinker,2. Verified emissions,2013,3870539,tonne of CO2 equ.
BE,Belgium,29 Production of cement clinker,2. Verified emissions,2014,3999795,tonne of CO2 equ.
BE,Belgium,29 Production of cement clinker,2. Verified emissions,2018,3693760,tonne of CO2 equ.
BE,Belgium,29 Production of cement clinker,4. Total surrendered units,2009,4242722,tonne of CO2 equ.
BE,Belgium,29 Production of cement clinker,4. Total surrendered units,2011,4244105,tonne of CO2 equ.
BE,Belgium,29 Production of cement clinker,4. Total surrendered units,2012,4069751,tonne of CO2 equ.
BE,Belgium,29 Production of cement clinker,4. Total surrendered units,2020,3904538,tonne of CO2 equ.
BE,Belgium,29 Production of cement clinker,4.1 Surrendered EU allowances (EUAs and EUAAs),2008,4629365,tonne of CO2 equ.
BE,Belgium,29 Production of cement clinker,4.1 Surrendered EU allowances (EUAs and EUAAs),2010,3913805,tonne of CO2 equ.
BE,Belgium,29 Production of cement clinker,4.1 Surrendered EU allowances (EUAs and EUAAs),2021,3875963,tonne of CO2 equ.
BE,Belgium,29 Production of cement clinker,4.1 Surrendered EU allowances (EUAs and EUAAs),2022,3516257,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",1.1 Freely allocated allowances,2006,3838178,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",1.1.1 Free allocation to existing entities (Art. 10a(1)),2006,3838178,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",1.1.1 Free allocation to existing entities (Art. 10a(1)),2014,2315756,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",1.1.1 Free allocation to existing entities (Art. 10a(1)),2015,2226082,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2. Verified emissions,2005,3264111,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2. Verified emissions,2019,2199212,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",2. Verified emissions,2023,1464113,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",4. Total surrendered units,2010,2616367,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",4. Total surrendered units,2017,2483341,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",4. Total surrendered units,2018,2491364,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",4. Total surrendered units,2021,1897059,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",4. Total surrendered units,2022,1687191,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",4.1 Surrendered EU allowances (EUAs and EUAAs),2009,2082566,tonne of CO2 equ.
BE,Belgium,"30 Production of lime, or calcination of dolomite/magnesite",4.1 Surrendered EU allowances (EUAs and EUAAs),2023,853675,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,1.1 Freely allocated allowances,2005,62299,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,1.1 Freely allocated allowances,2013,1607465,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,1.1 Freely allocated allowances,2017,1493902,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,1.1 Freely allocated allowances,2018,1464771,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,1.1.1 Free allocation to existing entities (Art. 10a(1)),2006,62299,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,1.1.1 Free allocation to existing entities (Art. 10a(1)),2015,1551296,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2016,0,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,1.1.3 Free allocation for modernisation of electricity generation (Art. 10c),2020,0,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,2. Verified emissions,2019,1611554,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,2.1 EU-ETS Verified Emission,2012,89583,tonne of CO2 equ.
GB,United Kingdom (excl. NI),41 Production of ammonia,4.1 Surrendered EU allowances (EUAs and EUAAs),2020,1646611,tonne of CO2 equ.
GB,United Kingdom (excl. NI),42 Production of bulk chemicals,1.1.1 Free allocation to existing entities (Art. 10a(1)),2011,3337011,tonne of CO2 equ.
GB,United Kingdom (excl. NI),42 Production of bulk chemicals,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2017,39956,tonne of CO2 equ.
