nkey,emis_t,n_install,nace,example_eutl,n_contracts,sb_rate,cpv,example_proc,log_emis
FRISIA ZOUT B V,7368.1,1,8.,Frisia Zout B.V.,3,0.0,34,Frisia Zout B.V.,8.904915150047167
FRUTTAGEL SCPA,12890.875,1,10,FRUTTAGEL SCPA,3,0.6666666666666666,15,Fruttagel SCPA,9.46427497570848
FUJITSU SERVICES,400.79999999999995,2,,Fujitsu Services Limited,394,0.13451776649746192,72,Fujitsu Services Oy,5.993462549770655
GASNOR,5587.3,1,6.,Gasnor AS,5,0.0,91,Gasnor AS,8.628251444097753
GATWICK AIRPORT,9350.444444444445,1,52,Gatwick Airport Limited,6,0.0,32,Gatwick AIrport Limited,9.143179155318201
GAVRILOVI D O O,5419.777777777777,1,10,Gavrilović d.o.o.,29,0.2413793103448276,15,Gavrilović d.o.o.,8.597810093183147
GDA SKIE PRZEDSI BIORSTWO ENERGETYKI CIEPLNEJ SP Z O O,32298.166666666664,2,35,Gdańskie Przedsiębiorstwo Energetyki Cieplnej sp. z o.o,110,0.8454545454545455,93,Gdańskie Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o.,10.38276574805394
GE HEALTHCARE,15094.8,1,21,GE Healthcare AS,3293,0.2648041299726693,33,GE Healthcare Srl,9.622105592632828
GELSIA,20181.9,1,35,Gelsia Srl,3,0.0,65,Gelsia SRL,9.912541442101883
GEMEINDEWERKE OBERHACHING,602.0,1,,Gemeindewerke Oberhaching GmbH,321,0.19626168224299065,93,Gemeindewerke Oberhaching,6.400257445308821
GEMMO,56940.416666666664,5,86,Gemmo Spa,34,0.029411764705882353,45,Gemmo SpA,10.94976067844956
GENERAL ELECTRIC,170.2,1,51,General Electric Company,75,0.04,33,General Electric Company,5.136974216139274
GEORGIA PACIFIC,4392.0,1,17,GEORGIA PACIFIC ΕΛΛΑΣ ΑΕΒΕ,12,0.0,33,Georgia Pacific,8.387539983189367
GEOVAL,1543.5,1,35,GEOVAL,14,0.0,71,Geoval,7.341807843942214
GIAGUARO S P A,10108.9,1,10,GIAGUARO S.P.A.,6,0.0,15,Giaguaro S.p.A.,9.22117150292984
GIRK KALUN D D,34155.0,1,23,GIRK Kalun d.d.,11,0.6363636363636364,24,GIRK KALUN d.d.,10.438664267165949
GKN AEROSPACE SWEDEN,482.5,1,30,GKN Aerospace Sweden AB,31,0.8387096774193549,35,GKN Aerospace Sweden Ab,6.178980920779041
GLAXOSMITHKLINE,54217.055555555555,4,72,GlaxoSmithKline Plc,2796,0.32045779685264664,33,GlaxoSmithKline Oy,10.900750816073735
GLOCK,1696.6666666666667,1,51,Glock GmbH,19,0.2631578947368421,45,Glock GmbH,7.436420820876458
GOLDMAN SACHS INTERNATIONAL,60.77777777777778,1,63,Goldman Sachs International,10,0.0,66,Goldman Sachs International,4.107224225085762
GOODYEAR,107.0,1,51,Goodyear,3,0.0,34,Goodyear,4.672828834461906
GOODYEAR DUNLOP TIRES FRANCE,8110.4,1,22,GOODYEAR DUNLOP TIRES FRANCE,3,0.0,25,GOODYEAR DUNLOP TIRES FRANCE,9.000902467718085
