country,ym,cpv_division,n,sb,ge3,sum_offers
IT,201601,60,6,2,1,12
UK,201602,70,6,2,2,12
DE,201601,34,10,0,6,35
MK,201602,92,2,0,2,16
CH,201601,45,13,0,12,89
CH,201601,33,3,0,2,16
CH,201601,42,2,0,2,8
CH,201601,71,6,0,6,38
CH,201601,72,1,0,1,7
CH,201601,44,2,2,0,2
DO,201602,79,24,0,24,120
PT,201602,45,2,0,2,20
MT,201602,45,2,0,1,11
SI,201602,32,1,0,1,3
HU,201602,22,1,0,1,4
LV,201602,32,1,1,0,1
UK,201602,03,2,0,2,8
AT,201602,39,5,0,4,42
FI,201602,32,2,0,2,6
UK,201602,09,11,0,10,76
ES,201602,48,1,0,1,3
PT,201602,98,2,2,0,2
RO,201602,80,3,0,0,6
PL,201602,63,3,2,0,4
RO,201602,71,6,2,4,22
HU,201602,92,3,3,0,3
CY,201602,50,1,0,0,2
DE,201602,14,1,0,1,4
AT,201602,98,1,0,1,10
CZ,201602,64,4,1,1,8
UK,201602,63,25,0,25,152
SE,201602,98,2,1,1,4
SE,201602,77,8,0,7,52
HR,201602,66,1,0,1,3
GR,201602,90,12,4,7,38
MK,201602,45,1,0,1,7
NO,201602,22,4,0,4,27
NO,201602,98,3,0,3,25
NO,201602,44,2,1,1,4
CH,201602,22,2,1,0,3
FR,201602,43,5,2,3,18
NL,201602,38,4,1,0,7
BG,201602,14,1,1,0,1
SK,201602,15,4,0,2,12
UK,201602,43,14,0,14,86
RO,201602,03,5,0,4,20
EE,201602,09,1,0,1,5
UK,201602,37,2,0,2,10
LT,201602,39,3,0,3,14
LV,201602,03,1,0,1,5
LT,201602,24,25,11,14,84
AT,201602,22,1,0,1,3
SI,201602,65,1,0,1,4
IE,201602,38,1,0,1,4
HU,201602,09,22,14,4,34
DK,201602,32,4,0,1,11
MT,201602,43,8,0,6,22
BG,201602,37,1,1,0,1
IT,201602,64,8,3,2,15
PT,201602,55,2,0,2,8
IE,201602,90,7,1,2,24
RO,201602,98,2,2,0,2
RO,201602,85,62,61,0,63
ES,201602,98,4,2,1,14
CZ,201602,51,2,1,1,5
LT,201602,80,4,0,0,8
SE,201602,32,9,0,9,66
LT,201602,63,5,0,5,30
HR,201602,98,1,1,0,1
RO,201602,44,3,0,1,8
IE,201602,14,38,0,38,150
ES,201602,38,14,5,6,31
RO,201602,60,2,1,1,7
PL,201602,51,3,0,2,8
SI,201602,64,3,2,1,5
CZ,201602,70,1,0,1,5
HU,201602,60,3,1,2,9
MK,201602,09,8,6,2,13
MK,201602,33,16,0,16,168
NO,201602,64,4,0,4,13
FR,201602,37,20,6,10,49
SE,201602,14,13,0,12,38
HU,201602,30,2,0,2,10
PT,201602,34,1,0,1,3
PT,201602,15,8,0,8,112
BE,201602,31,2,0,1,5
HU,201602,39,3,0,3,19
MT,201602,38,1,1,0,1
LV,201602,24,5,0,5,30
DK,201602,37,7,0,6,26
NL,201602,48,13,2,8,35
DK,201602,77,3,0,3,13
BE,201602,24,3,0,2,12
SE,201602,24,3,0,1,8
BE,201602,65,2,0,2,8
UK,201602,24,92,0,92,972
GR,201602,55,2,1,1,4
PT,201602,77,1,0,1,13
HU,201602,63,2,1,1,6
SK,201602,66,3,1,0,5
DE,201602,55,3,1,1,6
IE,201602,50,6,0,6,202
MT,201602,71,1,1,0,1
FI,201602,73,219,0,219,1245
SE,201602,92,1,0,1,3
NL,201602,73,1,0,1,6
IE,201602,72,6,0,4,19
MK,201602,48,1,0,1,3
MK,201602,85,1,0,1,4
CH,201602,48,1,0,1,4
LU,201601,79,48,0,48,264
BE,201601,80,384,48,96,816
IT,201601,45,1,0,1,8
SE,201601,45,4,1,3,22
CZ,201601,45,2,0,2,9
UK,201601,45,2,0,2,8
EE,201601,45,4,0,4,68
AT,201601,45,1,0,1,3
DE,201601,42,2,0,2,7
DE,201601,31,1,0,1,6
BG,201601,33,27,0,27,837
IT,201601,32,1,0,1,5
UK,201601,16,2,0,2,14
RO,201601,34,4,3,0,5
FR,201601,37,15,0,12,50
UK,201601,44,2,0,2,6
DE,201601,33,3,2,0,4
PL,201601,15,5,0,5,23
EE,201601,44,1,0,1,3
IT,201601,39,1,0,1,5
FI,201601,18,1,0,0,2
CZ,201601,38,1,1,0,1
CZ,201601,14,1,1,0,1
CZ,201601,39,1,1,0,1
LV,201601,33,14,0,14,111
LV,201601,16,1,1,0,1
LT,201601,48,1,0,0,2
LT,201601,33,2,2,0,2
LT,201601,15,9,0,7,37
LT,201601,35,2,1,1,4
EE,201601,33,11,0,11,165
GR,201602,34,10,5,1,16
NL,201601,42,1,0,1,3
GR,201601,15,4,4,0,4
NL,201601,44,2,0,0,4
FI,201601,19,1,1,0,1
IT,201601,48,1,0,1,4
NL,201601,38,2,2,0,2
SE,201601,33,3,0,3,9
EE,201601,39,1,0,1,4
BE,201601,33,1,0,1,3
BE,201601,15,2,0,2,6
DE,201601,16,1,1,0,1
DE,201601,35,1,1,0,1
DE,201601,48,5,1,4,21
AT,201601,34,1,0,0,2
DK,201602,38,2,0,0,4
FI,201601,43,1,1,0,1
ES,201601,92,1,0,1,4
IT,201601,50,7,1,2,16
PL,201601,90,7,0,7,35
IT,201601,92,2,0,1,7
PL,201601,66,5,0,2,12
PL,201601,55,1,1,0,1
RO,201601,71,10,1,9,50
RO,201601,60,1,1,0,1
ES,201601,55,1,0,1,5
UK,201601,79,5,0,5,60
IE,201601,71,2,0,2,18
UK,201601,60,58,0,58,1684
PL,201601,77,5,5,0,5
IT,201601,71,1,1,0,1
FI,201601,71,20,0,20,225
FI,201601,90,4,0,3,23
FI,201601,80,3,2,1,5
PT,201601,77,1,0,1,5
CZ,201601,64,1,1,0,1
CZ,201601,71,3,0,3,15
CZ,201601,48,1,0,1,3
CZ,201601,90,2,1,0,3
ES,201601,60,1,0,1,4
FR,201601,22,3,1,1,7
FI,201601,72,1,0,1,5
IE,201601,92,1,1,0,1
FI,201601,50,4,1,3,24
UK,201601,71,3,0,3,36
LT,201601,50,1,1,0,1
LT,201601,64,1,1,0,1
IT,201601,72,2,2,0,2
LT,201601,72,1,1,0,1
HU,201602,85,1,0,1,4
NL,201601,71,1,1,0,1
NL,201601,85,6,0,6,18
NL,201601,66,38,0,37,256
NL,201601,60,1,0,1,5
FR,201601,85,23,0,23,214
SE,201601,85,1,1,0,1
NL,201601,80,3,0,3,9
SE,201601,71,13,0,13,101
SE,201601,90,3,0,3,12
BG,201602,70,2,1,1,5
BE,201601,63,1,0,1,6
AT,201601,80,11,3,6,49
DE,201601,73,2,1,1,4
AT,201601,72,1,0,1,3
AT,201601,71,1,0,1,16
DK,201601,45,3,0,3,21
RO,201601,09,1,0,1,4
RO,201601,44,2,0,2,6
SK,201601,18,1,1,0,1
BE,201601,48,4,0,4,20
IE,201601,18,2,0,2,11
BE,201601,64,4,0,0,8
LT,201601,71,1,1,0,1
IT,201601,63,1,1,0,1
AT,201601,60,1,0,1,3
NO,201601,03,12,0,0,24
NO,201601,44,1,0,1,5
NO,201601,15,1,0,0,2
CH,201601,48,1,0,1,9
BG,201602,48,2,0,1,7
NL,201602,03,2,0,2,8
LV,201602,42,1,1,0,1
NL,201602,22,16,1,13,62
EE,201602,42,1,0,1,5
SK,201602,18,1,0,0,2
SE,201602,64,1,1,0,1
AT,201602,75,3,0,3,17
IE,201602,44,6,0,6,18
NL,201602,75,1,0,1,4
CZ,201602,98,2,1,1,5
NL,201602,92,3,1,2,15
PT,201602,65,2,2,0,2
LT,201602,64,48,21,1,77
NL,201602,55,3,1,2,11
HR,201602,79,2,0,2,8
BG,201602,85,2,2,0,2
PL,201602,22,2,1,0,3
FI,201602,31,3,1,1,7
SK,201602,34,1,1,0,1
DE,201602,63,1,1,0,1
LU,201601,71,24,0,0,48
BE,201601,72,96,0,96,384
LU,201602,31,1,0,0,2
FR,201602,19,6,0,5,32
PT,201601,30,1,1,0,1
NL,201602,31,1,0,1,4
HU,201602,03,7,0,2,17
HU,201602,48,1,0,1,3
UK,201602,19,34,0,34,340
IT,201601,73,1,0,1,3
SE,201602,41,1,0,0,2
DK,201601,66,12,1,9,45
LV,201602,80,18,0,18,1080
LT,201602,55,3,0,2,8
HU,201602,77,2,0,1,5
BE,201602,76,4,4,0,4
BG,201602,55,1,0,1,4
LT,201602,38,2,0,1,5
DK,201602,31,5,0,3,13
HR,201602,75,1,0,0,2
MK,201602,18,4,0,4,12
NO,201601,18,1,0,1,6
AF,201602,98,1,1,0,1
UA,201602,22,24,0,0,48
